Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
US and English Language,All countries,US and English Language,(Paid UA) CPP,3.000,medium,All genres,
US and English Language,All countries,US and English Language,(Paid UA) D7 ARPPU,3.000,medium,All genres,
US and English Language,All countries,US and English Language,Revenue Potential,0.489,,All genres,
US and English Language,USA,U.S.,(Paid UA) CPP,2.000,good,All genres,YES
US and English Language,USA,U.S.,(Paid UA) D7 ARPPU,3.000,medium,All genres,YES
US and English Language,USA,U.S.,Revenue Potential,0.397,,All genres,YES
US and English Language,GBR,U.K.,(Paid UA) CPP,2.000,good,All genres,
US and English Language,GBR,U.K.,(Paid UA) D7 ARPPU,2.000,bad,All genres,
US and English Language,GBR,U.K.,Revenue Potential,0.041,,All genres,
US and English Language,CAN,Canada,(Paid UA) CPP,4.000,bad,All genres,
US and English Language,CAN,Canada,(Paid UA) D7 ARPPU,3.000,medium,All genres,
US and English Language,CAN,Canada,Revenue Potential,0.024,,All genres,
US and English Language,AUS,Australia,(Paid UA) CPP,3.000,medium,All genres,YES
US and English Language,AUS,Australia,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
US and English Language,AUS,Australia,Revenue Potential,0.022,,All genres,YES
US and English Language,NZL,New Zealand,(Paid UA) CPP,4.000,bad,All genres,
US and English Language,NZL,New Zealand,(Paid UA) D7 ARPPU,2.000,bad,All genres,
US and English Language,NZL,New Zealand,Revenue Potential,0.003,,All genres,
US and English Language,IRL,Ireland,(Paid UA) CPP,4.000,bad,All genres,
US and English Language,IRL,Ireland,(Paid UA) D7 ARPPU,5.000,good,All genres,
US and English Language,IRL,Ireland,Revenue Potential,0.002,,All genres,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) CPP,4.000,bad,All genres,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) D7 ARPPU,5.000,good,All genres,
East Asia Pacific,All countries,East Asia Pacific,Revenue Potential,0.222,,All genres,
East Asia Pacific,KOR,South Korea,(Paid UA) CPP,3.000,medium,All genres,YES
East Asia Pacific,KOR,South Korea,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
East Asia Pacific,KOR,South Korea,Revenue Potential,0.083,,All genres,YES
East Asia Pacific,JPN,Japan,(Paid UA) CPP,3.000,medium,All genres,YES
East Asia Pacific,JPN,Japan,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
East Asia Pacific,JPN,Japan,Revenue Potential,0.082,,All genres,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) CPP,5.000,bad,All genres,
East Asia Pacific,TWN,Taiwan,(Paid UA) D7 ARPPU,5.000,good,All genres,
East Asia Pacific,TWN,Taiwan,Revenue Potential,0.035,,All genres,
East Asia Pacific,HKG,Hong Kong,(Paid UA) CPP,4.000,bad,All genres,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
East Asia Pacific,HKG,Hong Kong,Revenue Potential,0.017,,All genres,YES
East Asia Pacific,SGP,Singapore,(Paid UA) CPP,5.000,bad,All genres,
East Asia Pacific,SGP,Singapore,(Paid UA) D7 ARPPU,5.000,good,All genres,
East Asia Pacific,SGP,Singapore,Revenue Potential,0.005,,All genres,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) D7 ARPPU,4.000,good,All genres,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),Revenue Potential,0.140,,All genres,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) CPP,2.000,good,All genres,YES
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
Europe & Middle East (Group 1),DEU,Germany,Revenue Potential,0.049,,All genres,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) CPP,2.000,good,All genres,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
Europe & Middle East (Group 1),FRA,France,Revenue Potential,0.028,,All genres,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) CPP,3.000,medium,All genres,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) D7 ARPPU,3.000,medium,All genres,YES
Europe & Middle East (Group 1),ITA,Italy,Revenue Potential,0.013,,All genres,YES
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) CPP,2.000,good,All genres,YES
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) D7 ARPPU,3.000,medium,All genres,YES
Europe & Middle East (Group 1),ESP,Spain,Revenue Potential,0.009,,All genres,YES
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) CPP,3.000,medium,All genres,YES
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) D7 ARPPU,4.000,good,All genres,YES
Europe & Middle East (Group 1),NLD,Netherlands,Revenue Potential,0.008,,All genres,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) CPP,5.000,bad,All genres,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
Europe & Middle East (Group 1),CHE,Switzerland,Revenue Potential,0.006,,All genres,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) D7 ARPPU,4.000,good,All genres,
Europe & Middle East (Group 1),AUT,Austria,Revenue Potential,0.005,,All genres,
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 1),BEL,Belgium,Revenue Potential,0.004,,All genres,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) D7 ARPPU,3.000,medium,All genres,
Europe & Middle East (Group 1),SWE,Sweden,Revenue Potential,0.004,,All genres,
Europe & Middle East (Group 1),ISR,Israel,(Paid UA) CPP,5.000,bad,All genres,YES
Europe & Middle East (Group 1),ISR,Israel,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
Europe & Middle East (Group 1),ISR,Israel,Revenue Potential,0.003,,All genres,YES
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) CPP,5.000,bad,All genres,
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) D7 ARPPU,5.000,good,All genres,
Europe & Middle East (Group 1),NOR,Norway,Revenue Potential,0.003,,All genres,
Europe & Middle East (Group 1),ARE,UAE,(Paid UA) CPP,5.000,bad,All genres,YES
Europe & Middle East (Group 1),ARE,UAE,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
Europe & Middle East (Group 1),ARE,UAE,Revenue Potential,0.003,,All genres,YES
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) CPP,4.000,bad,All genres,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) D7 ARPPU,4.000,good,All genres,
Europe & Middle East (Group 1),DNK,Denmark,Revenue Potential,0.003,,All genres,
Europe & Middle East (Group 1),KWT,Kuwait,(Paid UA) CPP,5.000,bad,All genres,
Europe & Middle East (Group 1),KWT,Kuwait,(Paid UA) D7 ARPPU,5.000,good,All genres,
Europe & Middle East (Group 1),KWT,Kuwait,Revenue Potential,0.002,,All genres,
Europe & Middle East (Group 1),QAT,Qatar,(Paid UA) CPP,5.000,bad,All genres,
Europe & Middle East (Group 1),QAT,Qatar,(Paid UA) D7 ARPPU,5.000,good,All genres,
Europe & Middle East (Group 1),QAT,Qatar,Revenue Potential,0.001,,All genres,
Europe & Middle East (Group 1),ISL,Iceland,(Paid UA) CPP,5.000,bad,All genres,YES
Europe & Middle East (Group 1),ISL,Iceland,(Paid UA) D7 ARPPU,5.000,good,All genres,YES
Europe & Middle East (Group 1),ISL,Iceland,Revenue Potential,0.000,,All genres,YES
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) CPP,3.000,medium,All genres,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) D7 ARPPU,2.000,bad,All genres,
